2^7<128; lcm = 128
3^4<128; lcm = 10368
5^3<128; lcm = 129600
7^2<128; lcm = 635040
11^2<128; lcm = 7683984
13^1<128; lcm = 99891792
17^1<128; lcm = 1698160464
19^1<128; lcm = 32265048816
23^1<128; lcm = 742096122768
29^1<128; lcm = 21520787560272
31^1<128; lcm = 667144414368432
37^1<128; lcm = 24684343331631984
41^1<128; lcm = 1012058076596911344
43^1<128; lcm = 43518497293667187792
47^1<128; lcm = 2045369372802357826224
53^1<128; lcm = 108404576758524964789872
59^1<128; lcm = 6395870028752972922602448
61^1<128; lcm = 390148071753931348278749328
67^1<128; lcm = 26139920807513400334676204976
71^1<128; lcm = 1855934377333451423762010553296
73^1<128; lcm = 135483209545341953934626770390608
79^1<128; lcm = 10703173554082014360835514860858032
83^1<128; lcm = 888363404988807191949347733451216656
89^1<128; lcm = 79064343044003840083491948277158282384
97^1<128; lcm = 7669241275268372488098718982884353391248
101^1<128; lcm = 774593368802105621297970617271319692516048
103^1<128; lcm = 79783116986616878993690973578945928329152944
107^1<128; lcm = 8536793517568006052324934172947214331219365008
109^1<128; lcm = 930510493414912659703417824851246362102910785872
113^1<128; lcm = 105147685755885130546486214208190838917628918803536
127^1<128; lcm = 13353756090997411579403749204440236542538872688049072
2
FINAL ANSWER: 128: 2
128 13353756090997411579403749204440236542538872688049072000 2
2^8<256; lcm = 256
3^5<256; lcm = 62208
5^3<256; lcm = 777600
7^2<256; lcm = 3810240
11^2<256; lcm = 46103904
13^2<256; lcm = 7791559776
17^1<256; lcm = 132456516192
19^1<256; lcm = 2516673807648
23^1<256; lcm = 57883497575904
29^1<256; lcm = 1678621429701216
31^1<256; lcm = 52037264320737696
37^1<256; lcm = 1925378779867294752
41^1<256; lcm = 78940529974559084832
43^1<256; lcm = 3394442788906040647776
47^1<256; lcm = 159538811078583910445472
53^1<256; lcm = 8455556987164947253610016
59^1<256; lcm = 498877862242731887962990944
61^1<256; lcm = 30431549596806645165742447584
67^1<256; lcm = 2038913822986045226104743988128
71^1<256; lcm = 144762881432009211053436823157088
73^1<256; lcm = 10567690344536672406900888090467424
79^1<256; lcm = 834847537218397120145170159146926496
83^1<256; lcm = 69292345589126960972049123209194899168
89^1<256; lcm = 6167018757432299526512371965618346025952
97^1<256; lcm = 598200819470933054071700080664979564517344
101^1<256; lcm = 60418282766564238461241708147162936016251744
103^1<256; lcm = 6223083124956116561507895939157782409673929632
107^1<256; lcm = 665869894370304472081344865489882717835110470624
109^1<256; lcm = 72579818486363187456866590338397216244027041298016
113^1<256; lcm = 8201519488959040182625924708238885435575055666675808
127^1<256; lcm = 1041592975097798103193492437946338450318032069667827616
131^1<256; lcm = 136448679737811551518347509370970336991662201126485417696
137^1<256; lcm = 18693469124080182558013608783822936167857721554328502224352
139^1<256; lcm = 2598392208247145375563891620951388127332223296051661809184928
149^1<256; lcm = 387160439028824660959019851521756830972501271111697609568554272
151^1<256; lcm = 58461226293352523804811997579785281476847691937866339044851695072
157^1<256; lcm = 9178412528056346237355483620026289191865087634245015230041716126304
163^1<256; lcm = 1496081242073184436688943830064285138274009284381937482496799728587552
167^1<256; lcm = 249845567426221800927053619620735618091759550491783559576965554674121184
173^1<256; lcm = 43223283164736371560380276194387261929874402235078555806815040958622964832
179^1<256; lcm = 7736967686487810509308069438795319885447518000079061489419892331593510704928
181^1<256; lcm = 1400391151254293702184760568421952899266000758014310129585000512018425437591968
191^1<256; lcm = 267474709889570097117289268568593003759806144780733234750735097795519258580065888
193^1<256; lcm = 51622619008687028743636828833738449725642585942681514306891873874535216905952716384
197^1<256; lcm = 10169655944711344662496455280246474595951589430708258318457699153283437730472685127648
199^1<256; lcm = 2023761532997557587836794600769048444594366296710943405373082131503404108364064340401952
211^1<256; lcm = 427013683462484651033563660762269221809411288606009058533720329747218266864817575824811872
223^1<256; lcm = 95224051412134077180484696349986036463498717359140020053019633533629673510854319408933047456
227^1<256; lcm = 21615859670554435519970026071446830277214208840524784552035456812133935886963930505827801772512
229^1<256; lcm = 4950031864556965734073135970361324133482053824480175662416119609978671318114740085834566605905248
233^1<256; lcm = 1153357424441773016039040681094188523101318541103880929342955869125030417120734439999454019175922784
239^1<256; lcm = 275652424441583750833330722781511057021215131323827542112966452720882269691855531159869510583045545376
241^1<256; lcm = 66432234290421683950832704190344164742112846649042437649224915105732626995737183009528552050513976435616
251^1<256; lcm = 16674490806895842671659008751776385350270324508909651849955453691538889375930032935391666564679008085339616
6
FINAL ANSWER: 256: 6
256 16674490806895842671659008751776385350270324508909651849955453691538889375930032935391666564679008085339616000 6
2^9<512; lcm = 512
3^5<512; lcm = 124416
5^3<512; lcm = 1555200
7^3<512; lcm = 53343360
11^2<512; lcm = 645454656
13^2<512; lcm = 109081836864
17^2<512; lcm = 31524650853696
19^2<512; lcm = 11380398958184256
23^1<512; lcm = 261749176038237888
29^1<512; lcm = 7590726105108898752
31^1<512; lcm = 235312509258375861312
37^1<512; lcm = 8706562842559906868544
41^1<512; lcm = 356969076544956181610304
43^1<512; lcm = 15349670291433115809243072
47^1<512; lcm = 721434503697356443034424384
53^1<512; lcm = 38236028695959891480824492352
59^1<512; lcm = 2255925693061633597368645048768
61^1<512; lcm = 137611467276759649439487347974848
67^1<512; lcm = 9219968307542896512445652314314816
71^1<512; lcm = 654617749835545652383641314316351936
73^1<512; lcm = 47787095737994832624005815945093691328
79^1<512; lcm = 3775180563301591777296459459662401614912
83^1<512; lcm = 313339986754032117515606135151979334037696
89^1<512; lcm = 27887258821108858458888946028526160729354944
97^1<512; lcm = 2705064105647559270512227764767037590747429568
101^1<512; lcm = 273211474670403486321735004241470796665490386368
103^1<512; lcm = 28140781891051559091138705436871492056545509795904
107^1<512; lcm = 3011063662342516822751841481745249650050369548161728
109^1<512; lcm = 328205939195334333679950721510232211855490280749628352
113^1<512; lcm = 37087271129072779705834431530656239939670401724708003776
127^1<512; lcm = 4710083433392243022640972804393342472338141019037916479552
131^1<512; lcm = 617020929774383835965967437375527863876296473493967058821312
137^1<512; lcm = 84531867379090585527337538920447317351052616868673487058519744
139^1<512; lcm = 11749929565693591388299917909942177111796313744745614701134244416
149^1<512; lcm = 1750739505288345116856687768581384389657650747967096590469002417984
151^1<512; lcm = 264361665298540112645359853055789042838305262943031585160819365115584
157^1<512; lcm = 41504781451870797685321496929758879725613926282055958870248640323146688
163^1<512; lcm = 6765279376654940022707403999550697395275069983975121295850528372672910144
167^1<512; lcm = 1129801655901374983792136467924966465010936687323845256407038238236375994048
173^1<512; lcm = 195455686470937872196039608951019198446892046907025229358417615214893046970304
179^1<512; lcm = 34986567878297879123091090002232436521993676396357516055156753123465855407684416
181^1<512; lcm = 6332568785971916121279487290404071010480855427740710405983372315347319828790879296
191^1<512; lcm = 1209520638120635979164382072467177563001843386698475687542824112231338087299057945536
193^1<512; lcm = 233437483157282743978725739986165269659355773632805807695765053660648250848718183488448
197^1<512; lcm = 45987184181984700563808970777274558122893087405662744116065715571147705417197482147224256
199^1<512; lcm = 9151449652214955412197985184677637066455724393726886079097077398658393378022298947297626944
211^1<512; lcm = 1930955876617355591973774873966981421022157847076372962689483331116921002762705077879799285184
223^1<512; lcm = 430603160485670297010151796894636856887941199898031170679754782839073383616083232367195240596032
227^1<512; lcm = 97746917430247157421304457895082566513562652376853075744304335704469658080850893747353319615299264
229^1<512; lcm = 22384044091526599049478720857973907731605847394299354345445692876323551700514854668143910191903531456
233^1<512; lcm = 5215482273325697578528541959907920501464162442871749562488846440183387546219961137677531074713522829248
239^1<512; lcm = 1246500263324841721268321528417992999849934823846348145434834299203829623546570711904929926856531956190272
241^1<512; lcm = 300406563461286854825665488348736312963834292546969903049795066108122939274723541569088112372424201441855552
251^1<512; lcm = 75402047428783000561242037575532814553922407429289445665498561593138857757955608933841116205478474561905743552
257^1<512; lcm = 19378326189197231144239203656911933340358058709327387536033130329436686443794591495997166864807967962409776092864
263^1<512; lcm = 5096499787758871790934910561767838468514169440553102921976713276641848534717977563447254885444495574113771112423232
269^1<512; lcm = 1370958442907136511761490941115548548030311579508784686011735871416657255839135964567311564184569309436604429241849408
271^1<512; lcm = 371529738027833994687364045042313656516214438046880649909180421153914116332405846397741433894018282857319800324541189568
277^1<512; lcm = 102913737433710016528399840476720882854991399338985940024842976659634210224076419452174377188643064351477584689897909510336
281^1<512; lcm = 28918760218872514644480355173958568082252583214255049146980876441357213072965473866060999990008701082765201297861312572404416
283^1<512; lcm = 8184009141940921644387940514230274767277481049634178908595588032904091299649229104095262997172462406422551967294751457990449728
293^1<512; lcm = 2397914678588690041805666570669470506812301947542814420218507293640898750797224127499912058171531485081807726417362177191201770304
307^1<512; lcm = 736159806326727842834339637195527445591376697895644027007081739147755916494747807142473001858660165920114972010130188397698943483328
311^1<512; lcm = 228945699767612359121479627167809035578918153045545292399202420874952090029866568021309103578043311601155756295150488591684371423315008
313^1<512; lcm = 71660004027262668405023123303524228136201381903255676520950357733860004179348235790669749419927556531161751720382102929197208255497597504
317^1<512; lcm = 22716221276642265884392330087217180319175838063332049457141263401633621324853390745642310566117035420378275295361126628555515016992738408768
331^1<512; lcm = 7519069242568590007733861258868886685647202398962908370313758185940728658526472336807604797384738724145209122764532914051875470624596413302208
337^1<512; lcm = 2533926334745614832606311244238814813063107208450500120795736508662025557923421177504162816718656950036935474371647592035482033600488991282844096
347^1<512; lcm = 879272438156728346914390001750868740132898201332323541916120568505722868599427148593944497401373961662816609606961714436312265659369679975146901312
349^1<512; lcm = 306866080916698193073122110611053190306381472264980916128726078408497281141200074859286629593079512620322996752829638338272980715120018311326268557888
353^1<512; lcm = 108323726563594462154812105045701776178152659709538263393440305678199540242843626425328180246357067954974017853748862333410362192437366463898172800934464
359^1<512; lcm = 38888217836330411913577545711406937647956804835724236558245069738473634947180861886692816708442187395835672409495841577694320027085014560539444035535472576
367^1<512; lcm = 14271975945933261172282959276086346116800147374710794816875940594019824025615376312416263731998282774271691774284973859013815449940200343717975961041518435392
373^1<512; lcm = 5323447027833106417261543809980207101566454970767126466694725841569394361554535364531266372035359474803341031808295249412153162827694728206805033468486376401216
379^1<512; lcm = 2017586423548747332142125103982498491493686433920740930877301093954800463029168903157349955001401240950466251055343899527206048711696301990379107684556336656060864
383^1<512; lcm = 772735600219170228210433914825296922242081904191643776526006318984688577340171689909265032765536675284028574154196713518919916656579683662315198243185076939271310912
389^1<512; lcm = 300594148485257218773858792867040502752169860730549429068616458085043856585326787374704097745793766685487115345982521558859847579409496944640612116598994929376539944768
397^1<512; lcm = 119335876948647115853221940768215079592611434710028123340240733859762411064374734587757526805080125374138384792355061058867359489025570287022323010289800986962486358072896
401^1<512; lcm = 47853686656407493457141998248054246916637185318721277459436534277764726836814268569690768248837130275029492301734379484605811155099253685095951527126210195771957029587231296
409^1<512; lcm = 19572157842470664823971077283454186988904608795357002480909542519605773276257035845003524213774386282487062351409361209203776762435594757204244174594619970070730425101177600064
